title,date,location,relevance_score
GitLab Hackathon,"Jun 10 - 24, 2026",Online,0.7449752
Mind the Product Hackathon,"May 20 - Jun 20, 2026",Online,0.72026694
UiPath AgentHack,"May 15 - Jun 29, 2026",Online,0.69209474
CockroachDB × AWS Hackathon - Build with Agentic Memory,"Jun 30 - Aug 18, 2026",Online,0.66395515
Google Cloud Rapid Agent Hackathon,"Jun 01 - Jul 01, 2026",Online,0.6596503
Global AI Hackathon Series with Qwen Cloud,"May 26 - Jul 09, 2026",Online,0.65062785
Google & GitCloud AI Mini-Hackathon,"Apr 27 - May 01, 2026",Google Toronto King Office,0.64408606
Produktivity Brewing Codes 4.0,"Mar 12 - 27, 2028",Online,0.62637
Build with Gemini XPRIZE,"May 19 - Aug 17, 2026",Online,0.6246537
Backblaze Generative Media Hackathon: Build with Genblaze on B2,"Jun 22 - Aug 03, 2026",Online,0.61891246
VoltHacks,"May 22 - Sep 05, 2026",Online,0.5989144
DevNetwork [API + Cloud + AI] Hackathon 2026,"Aug 14 - 16, 2026",Santa Clara Convention Center and Online,0.59860706
H0: Hack the Zero Stack with Vercel v0 and AWS Databases,"May 05 - Jun 11, 2026",Online,0.5916902
Slack Agent Builder Challenge,"May 20 - Jul 13, 2026",Online,0.5400957
google build with ai,"Jun 24 - 26, 2026",Online,0.50571156
Splunk Agentic Ops Hackathon,"May 15 - Jun 29, 2026",Online,0.5021063
GenZ Can Hack 2026,about 2 months left,Toronto,0.5013128
Girls Got Game,"Jun 15 - 24, 2026",Online,0.49723586
United Hacks V7,"Dec 11 - 15, 2026",Online,0.49177584
Arm Create: AI Optimization Challenge,"Jun 04 - Aug 14, 2026",Online,0.47895455
Splunk Hackathon,"May 18 - Jun 15, 2026",Online,0.4736698
HackTitan,Online,Online,0.46265513
The Mastery Mentors Hackathon,"Jun 26 - Jul 03, 2026",Online,0.450307
Github readme generation,,Online,0.44634888
Next Byte Hacks V3 2026,13 days left,Online,0.42746785
UET Mardan Datathon,"May 21 - 25, 2026",Online,0.41361555
Cloud Counselage,"Jun 18 - Jul 31, 2026",Online,0.41242778
LUMA Hackathon (July 3rd - 10th),"Apr 11 - Jul 10, 2026",Online,0.4118223
Hack for Humanity | Summer 2026,"Jul 10 - 12, 2026",Online,0.40564695
Celesta 2026,"Jun 15 - Jul 31, 2026",Online,0.3880496
BloomKnights,"Jul 11, 2026",Online,0.3816166
Synapse Sprint,"Mar 29 - Apr 23, 2026",Online,0.37780926
aethera Hacks,"Jul 05 - 18, 2026",Online,0.37296095
Prometheus AI Challenge,"Jul 17 - 30, 2026",Online,0.3722877
QuantumHacks 2026,about 2 months left,Online,0.3712733
Galuxium Nexus V2,"Jul 15 - Aug 01, 2026",Online,0.35648352
AI YES :International Youth AI Competition,"Jun 17 - Sep 01, 2026",Online,0.35109925
FIND EVIL!,"Apr 15 - Jun 15, 2026",Online,0.34868068
Robotic Process Automation 3D Websites Hackathon 2026,29 days left,Online,0.3478019
AI Consensus,"Jun 20, 2026",Online,0.3463745
LUMA Hackathon,2 months left,Online,0.3442711
DSH Pitch,"Jun 24 - Aug 30, 2026",Online,0.34179714
Code crate,"Jul 19, 2026",Online,0.33905056
OurPlanet.Rocks,"Aug 02, 2026",Online,0.33847547
Pixel Forge Jam #2 [Haunted Edition],"Jun 27 - Jul 04, 2026",Online,0.337191
RevenueCat,"Aug 01 - Oct 01, 2026",Online,0.33613008
ACM UNR,"Apr 10 - 12, 2026",Online,0.32861137
Agentic AI Build Week 2026,"Jun 09 - Jul 11, 2026",Online,0.3174978
Cal Hacks,"Jun 20 - 21, 2026",Online,0.31686908
BuildBeyond,"Jun 18 - Aug 16, 2026",Online,0.31291658
Hack the Arts,"Jul 01 - Aug 01, 2026",Online,0.31211993
DreamWeave Hackathon,"May 20 - Jun 16, 2026",Online,0.30889413
BagelHacks II,"Apr 04, 2026",Online,0.3084289
Major League Hacking,"Jul 10, 2026",Online,0.30591196
OneAquaHealth IEEE Global Hackathon,"Aug 07 - Sep 04, 2026",Online,0.30556056
The Rice University Urban Sustainability Hackathon 2026,3 months left,Online,0.30469188
Hoobit Hacks 2026,"Apr 22 - Jul 06, 2026",Online,0.3018823
Oink Game Jam,"May 14 - 17, 2026",Online,0.29680982
Reddit’s Games with a Hook Hackathon,"Jun 17 - Jul 15, 2026",Online,0.29474849
Nanolabs,"Mar 09 - 31, 2026",Online,0.28941742
NeuralSprint,"Jun 18 - Aug 24, 2026",Online,0.28871322
Kaya AI IIT India Hackathon 2026,"Jun 10 - Jul 10, 2026",Online,0.28826925
Zero to Live: Website Challenge,"May 31 - Jun 30, 2026",Online,0.28474516
Fintech Global Tech Innovation Challenge,"Jul 23 - 24, 2026",Online,0.28442594
TechieBunnies team,"Jun 22 - Jul 22, 2026",Online,0.28113937
LingoQL Hackathon,"Jul 08 - 21, 2026",Online,0.27740148
GLITCHED GAMES,"Jun 20 - 27, 2026",Online,0.27502778
IEEE KCE Student Branch CIS Chapter 2026,"Jun 24 - Jul 15, 2026",Online,0.2738576
Lumora Hacks,8 days left,Online,0.273038
IncludAI - The Neurodiversity Hackathon,"Aug 01 - 09, 2026",Online,0.2729783
G2I,"Apr 22, 2026",Online,0.26924416
Students,"Jun 25 - Jul 10, 2026",Online,0.2661033
Creator Colosseum Hackathon,"Apr 24 - Jun 30, 2026",Online,0.2600588
Iris Hacks IV,"Aug 08 - 09, 2026",Online,0.25737515
Reverie Hacks 2026,"Aug 02 - 17, 2026",Online,0.2567164
Hack Days in Agadir,"HeySalad Inc. Jun 13 - 15, 2026",Online,0.2555865
CodeStorm Edition,May 2026,Online,0.25504133
Africa Deep Tech Challenge 2026,"Jun 17 - Aug 25, 2026",Online,0.2544744
IMSA.ai Hackathon,"Apr 27 - May 05, 2026",Online,0.2528871
CED Hacks,"Apr 29 - May 01, 2026",Online,0.2508274
Moonshot Hackathon,"Jun 03 - Jul 05, 2026",Online,0.24727969
AceSAT,"Jun 12 - Aug 15, 2026",Online,0.24694605
vsHacks,"Aug 01 - 25, 2026",Online,0.23555005
Innovation Hacks 2026,"May 29 - Jul 05, 2026",Online,0.23426019
SunnyHacks,"Jun 16 - 30, 2026",Online,0.23314354
DevsUnite,"Jul 24 - 25, 2026",Online,0.23022902
DevonomicsV1,"Sep 16 - 23, 2026",Online,0.22696477
STEMist Hacks IV,"Jul 30 - Aug 02, 2026",Online,0.22002299
Ventura Challenge,"Jun 01 - Jul 29, 2026",Online,0.21986234
Pacific Portal XR,"May 07 - 09, 2026",Online,0.21950048
ImpactForge 2026,22 days left,Online,0.21324818
Girls In STEM Global Hackathon,"Jun 23 - Jul 25, 2026",Online,0.21092275
Health Innovatera Hackathon,"Mar 25 - 27, 2026",Online,0.20841488
IWU,"Feb 02 - 04, 2027",Online,0.20393194
Pinch Payments,"Jun 20 - Jul 31, 2026",Online,0.1954226
AQX Sports Analytics Data Bowl 2.0,"Jun 18 - Jul 30, 2026",Online,0.19434461
1st Nature's Blueprint Ideathon,"Apr 16 - Jun 30, 2026",Online,0.19296817
beyond Tomorrow Summit Hackathon,"May 13 - Jun 05, 2026",Online,0.1904476
Google Developer Group LMU Hackathon,"Apr 01 - Jun 30, 2026",Online,0.18804596
Vanier's project showcase,"Feb 03, 2025 - May 10, 2026",Online,0.18657228
HackTheLimit,"Jun 18 - Jul 30, 2026",Online,0.18569438
Hack Verse,"Apr 11, 2026",Online,0.1844673
BeanHacks,"Jun 30 - Jul 01, 2026",Online,0.1839921
TechElevate,"Jun 26 - Jul 31, 2026",Online,0.18384638
1st International Prosolve 2026,"Apr 11 - May 13, 2026",Online,0.18193938
Brain Blitz 2026,6 days left,Online,0.17795502
east2046,"Jul 03 - 10, 2026",Online,0.17795256
Beyond Tomorrow Summit Hackathon,"May 15 - Jun 05, 2026",Online,0.17726496
caseHacks,"May 22 - 24, 2026",Online,0.17264393
Pixel Forge AI,"Oct 03 - 04, 2026",Online,0.16917342
AnimalHack,2026,Online,0.16735312
India High School Exoplanet Data Challenge 2026,29 days left,Online,0.16650902
COLORSTACKatFIU,"May 01 - Jun 01, 2026",Online,0.16141044
Low/No Code Machine Learning/AI Social Good VibeFlow x LovHack Hackathon,"02 - 03, 2026",Online,0.15879995
The Fusion 2026,"Jun 16 - Jul 16, 2026",Online,0.15824473
Hackonomics 2027,"Jul 01, 2026 - Jun 01, 2027",Online,0.1560488
Global Builders Hackathon: Code for Impact,"Aug 08 - 10, 2026",Online,0.15293609
Hackstreet 2k26,"Apr 23 - May 02, 2026",Online,0.15288696
MLH,"Jun 26 - Jul 13, 2026",Online,0.15246986
Innovation Hacks,"Jun 30 - Jul 15, 2026",Online,0.14771156
